Word,Max,Expected,Median,25th Perc,75th Perc
FONTS,152,51.804769001490314,28.0,14.0,91.0
FLOPS,137,51.82861400894188,47.0,13.0,81.0
COUPS,171,51.84202682563338,24.5,12.0,84.0
PONKS,150,51.89865871833085,34.0,14.0,83.0
HOTLY,164,51.912071535022356,41.0,14.0,70.0
SLUNK,138,51.986587183308494,32.0,18.0,95.0
GOTHS,166,52.06110283159463,34.0,13.5,87.0
FLOCS,134,52.110283159463485,43.0,14.0,79.0
SCOUP,136,52.189269746646794,44.0,19.0,73.0
SLOOT,147,52.20566318926975,46.0,19.0,71.0
LUNGS,154,52.28912071535022,31.0,13.0,71.0
SLUMP,141,52.34575260804769,33.5,18.0,97.0
SHLUB,144,52.49180327868852,35.0,22.0,80.0
STYLO,174,52.578241430700444,34.0,18.0,60.0
SHUNT,156,52.582712369597616,29.5,14.0,100.0
BOUNS,163,52.64828614008942,31.0,13.25,89.0
CLUBS,163,53.150521609538,32.0,15.0,81.75
SMOKY,146,53.156482861400896,43.0,17.0,78.0
JOLTS,154,53.26527570789866,31.0,22.0,86.0
CULTY,169,53.277198211624444,40.0,14.0,68.0
PLUGS,154,53.38152011922504,33.0,13.0,89.0
CLOWS,135,53.439642324888226,44.0,16.0,100.0
MONKS,146,53.49478390461997,37.0,16.0,79.0
HONKS,157,53.61400894187779,31.0,14.0,90.0
POUKS,160,53.74068554396423,33.0,13.0,75.0
FOULS,159,53.93591654247392,32.0,17.0,77.0
TUMPS,172,54.01490312965723,30.0,11.0,72.0
LUSTY,184,54.08047690014903,33.0,14.0,65.0
SLOTS,147,54.18628912071535,40.0,19.0,76.0
LOTOS,165,54.267511177347245,39.0,19.0,90.0
YMOLT,147,54.49180327868852,51.0,18.0,69.0
LUCKS,157,54.49180327868852,37.0,14.0,81.0
MOUPS,169,54.49329359165425,29.0,12.0,84.0
TUNGS,167,54.54545454545455,32.0,13.0,82.0
PHUTS,173,54.76005961251863,25.0,11.0,96.0
SWOLN,140,54.82116244411326,41.5,19.0,108.0
COMPS,170,54.992548435171386,35.0,12.0,92.0
CHOGS,149,55.049180327868854,41.0,13.0,95.0
STOOL,147,55.057377049180324,44.0,26.0,71.0
BULKS,162,55.071535022354695,43.0,15.25,73.0
NOWLS,148,55.09538002980626,39.0,21.0,96.0
KNUTS,161,55.12518628912071,34.0,14.0,84.0
BONUS,163,55.16244411326379,29.0,17.0,93.0
PLOWS,140,55.25931445603577,45.0,14.0,100.0
LOWNS,148,55.28614008941878,39.0,20.0,96.0
SLUNG,148,55.58420268256334,35.0,16.0,107.0
WONTS,152,55.789865871833086,35.0,16.0,106.0
GLUMS,159,55.827123695976155,36.0,16.0,88.0
MYOPS,164,56.12220566318927,34.0,12.0,95.0
PONGS,173,56.12816691505216,34.0,14.0,91.0
TUCKS,170,56.15797317436662,36.0,14.25,72.0
COWLS,161,56.16542473919523,39.0,16.0,100.0
SOFTY,181,56.26080476900149,49.0,12.0,79.0
BHUTS,176,56.30253353204173,23.5,17.0,97.0
LOONS,163,56.33532041728763,42.0,23.0,75.0
CHUTS,175,56.35618479880775,29.0,11.0,95.0
KOPHS,165,56.41281669150521,38.0,16.0,86.0
COMUS,170,56.417287630402384,32.0,12.0,86.0
SHTUP,161,56.459016393442624,33.0,13.0,90.0
VOLTS,165,56.582712369597616,34.0,23.0,88.0
MONGS,167,56.61698956780924,35.0,15.0,87.0
SCOUG,135,56.63636363636363,45.0,20.0,82.0
FOLKS,142,56.63636363636363,46.0,19.0,79.0
NOWTS,152,56.6467958271237,35.0,16.5,106.0
POCKS,167,56.912071535022356,38.0,14.0,88.0
TOWNS,152,56.93889716840537,39.0,17.0,106.0
SPLOG,151,56.95529061102832,42.0,17.0,90.0
CONKS,160,56.97764530551416,50.0,10.0,95.0
PUNKS,171,57.008941877794335,31.0,14.0,75.0
SHOYU,133,57.06259314456036,54.0,19.0,89.25
BUOYS,145,57.10134128166915,43.0,15.0,104.0
SWOPT,146,57.150521609538,52.0,16.0,102.0
THUGS,170,57.274217585692995,30.0,14.0,102.0
FLOBS,139,57.299552906110286,52.0,15.0,91.0
HOWLS,164,57.35618479880775,38.0,18.0,101.0
SOTOL,170,57.36363636363637,42.0,24.0,95.0
KNOBS,132,57.399403874813714,55.0,13.0,97.0
NOLOS,163,57.47391952309985,41.0,23.0,97.0
SCULK,152,57.48286140089419,37.0,15.0,101.0
SCHUL,146,57.63934426229508,38.5,22.0,95.0
HONGS,180,57.88375558867362,33.0,14.0,96.0
MOCHS,177,57.98211624441133,30.0,13.0,91.0
GOUKS,165,58.02533532041729,36.0,14.0,77.0
TOLTS,165,58.08643815201192,40.0,23.0,90.0
LOUSY,178,58.12369597615499,42.0,17.0,82.0
NOCKS,160,58.18032786885246,50.0,13.0,95.0
BOUKS,167,58.189269746646794,33.0,15.0,79.0
STOWN,135,58.189269746646794,55.0,20.0,102.0
TOLLS,165,58.203427719821164,40.0,23.0,90.0
PONTY,177,58.210134128166914,34.0,14.0,104.0
LOWPS,161,58.22503725782414,40.0,15.0,100.0
HOCUS,174,58.278688524590166,31.0,12.0,96.0
STUNK,158,58.31445603576751,35.0,18.0,98.0
CONFS,168,58.336810730253355,40.0,16.0,95.0
FLOGS,139,58.38301043219076,53.0,14.0,87.0
COOLS,180,58.45156482861401,46.0,20.25,85.0
MOUST,169,58.48435171385991,41.0,12.0,99.0
MOPUS,169,58.4903129657228,39.0,14.0,93.0
COMBS,174,58.4903129657228,34.0,14.0,91.0
SOPHY,193,58.52459016393443,46.0,15.0,83.0
BONKS,157,58.53502235469448,54.0,13.0,97.0
STUMP,162,58.581222056631894,38.0,18.0,96.0
MONTY,167,58.83308494783905,37.0,16.0,107.0
SMOWT,137,58.89865871833085,55.0,25.0,98.0
CLOTH,172,58.93591654247392,34.0,13.0,92.0
SUMPH,174,59.03725782414307,36.0,13.0,90.0
POOLS,179,59.09538002980626,41.0,19.0,101.0
BLOWS,138,59.198211624441136,50.0,18.0,108.0
TOFUS,170,59.2682563338301,37.0,16.0,89.0
SYCON,177,59.34724292101341,39.0,17.0,91.0
SNOOL,152,59.39195230998509,48.0,28.0,75.0
MOCKS,167,59.460506706408346,50.0,11.0,84.0
SMOCK,146,59.46944858420268,41.0,14.0,93.0
SOUPY,193,59.47242921013413,37.0,12.0,92.0
STOWP,146,59.621460506706406,55.0,21.5,102.0
SHTUM,165,59.64977645305514,35.0,15.0,88.0
MOOLS,176,59.698211624441136,45.0,22.0,86.0
HUNKS,184,59.73472429210134,32.0,14.0,72.0
GOLFS,164,59.78688524590164,51.0,16.0,87.0
SNOWY,157,59.79433681073025,52.0,20.0,80.0
SCOWL,150,59.84202682563338,42.0,23.25,108.0
YONKS,177,59.95976154992548,51.0,13.0,89.0
GLOWS,141,59.95976154992548,51.0,17.0,103.0
TOONS,177,59.98211624441133,40.0,21.0,96.0
CLOUT,138,60.04321907600596,50.0,15.0,117.0
PUNGS,181,60.18628912071535,34.0,13.0,78.0
SNOOT,154,60.20864381520119,47.0,19.0,86.0
TYPOS,193,60.299552906110286,36.0,14.0,84.0
FOHNS,172,60.320417287630406,39.0,22.0,96.0
POTSY,184,60.32488822652757,55.0,10.0,80.0
LOOPS,179,60.33233979135618,41.0,19.0,101.0
SOWTH,173,60.523099850968705,31.0,16.0,102.0
HOLOS,184,60.711624441132635,39.0,20.0,102.0
